# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   2, 200, 200,   1, 553
   1,   0,   2,   2, 200, 200,   1, 510
   1,   0,   2,   2, 200, 200,   1, 292
   1,   1,   2,   0, 200, 250,   3,   0
   1,   0,   2,   2, 200, 250,   1, 417
   1,   0,   2,   2, 200, 250,   1, 510
   1,   0,   2,   2, 200, 250,   1, 455
   1,   0,   2,   2, 200, 250,   1, 668
   1,   1,   2,   0, 200, 300,   3,   0
   1,   1,   2,   2, 200, 250,   4,  51
   2,   0,   2,   2, 200, 250,   1, 470
   2,   0,   2,   2, 200, 250,   1, 320
   2,   0,   2,   2, 200, 250,   1, 283
   2,   0,   2,   2, 200, 250,   1, 668
   2,   1,   2,   2, 200, 200,   4, 177
   2,   0,   2,   2, 200, 200,   1, 352
   2,   0,   2,   2, 200, 200,   1, 358
   2,   1,   2,   2, 200, 150,   4, 168
   2,   0,   2,   2, 200, 150,   1, 614
   2,   1,   2,   0, 200, 200,   3,   0
# 102,20,Male,Caucasian
